Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
8/1/85,596,"2,444","1,356",192,"2,274",555,322,79
9/1/85,603,"2,456","1,334",189,"2,211",543,313,77
10/1/85,608,"2,468","1,341",185,"2,206",543,304,75
11/1/85,612,"2,478","1,390",192,"2,271",561,314,77
12/1/85,620,"2,492","1,472",202,"2,375",591,326,81
1/1/86,621,"2,502","1,547",211,"2,489",618,340,84
2/1/86,625,"2,513","1,571",212,"2,513",625,339,84
3/1/86,634,"2,533","1,709",227,"2,698",675,358,90
4/1/86,641,"2,558","1,790",235,"2,793",700,367,92
5/1/86,652,"2,585","1,778",235,"2,727",688,360,91
6/1/86,661,"2,605","1,877",247,"2,841",720,374,95
7/1/86,670,"2,627","1,904",252,"2,840",725,376,96
8/1/86,679,"2,647","1,764",235,"2,599",666,346,89
9/1/86,687,"2,668","1,898",253,"2,762",712,368,95
10/1/86,695,"2,687","1,783",234,"2,566",663,337,87
11/1/86,705,"2,701","1,878",244,"2,662",695,346,90
12/1/86,725,"2,728","1,913",249,"2,639",701,344,91
1/1/87,730,"2,744","1,896",242,"2,596",691,331,88
2/1/87,731,"2,748","2,158",274,"2,953",785,375,100
3/1/87,734,"2,754","2,224",284,"3,031",808,387,103
4/1/87,744,"2,768","2,316",292,"3,113",837,393,106
5/1/87,746,"2,773","2,280",288,"3,058",822,386,104
6/1/87,743,"2,775","2,288",290,"3,079",825,390,105
7/1/87,743,"2,779","2,410",303,"3,243",867,408,109
8/1/87,745,"2,788","2,572",319,"3,453",922,428,114
9/1/87,748,"2,800","2,611",323,"3,492",933,432,115
10/1/87,756,"2,815","2,639",327,"3,490",938,432,116
11/1/87,753,"2,819","1,994",252,"2,647",707,335,89
12/1/87,750,"2,826","1,842",232,"2,456",652,309,82
1/1/88,756,"2,847","1,939",247,"2,564",681,327,87
2/1/88,758,"2,870","1,945",255,"2,566",677,337,89
3/1/88,762,"2,891","2,071",267,"2,718",716,350,92
4/1/88,768,"2,911","1,988",259,"2,588",683,337,89
5/1/88,772,"2,926","2,032",261,"2,634",695,338,89
6/1/88,778,"2,938","2,064",267,"2,652",702,343,91
7/1/88,781,"2,947","2,132",272,"2,728",723,348,92
8/1/88,783,"2,952","2,131",272,"2,720",722,347,92
9/1/88,784,"2,957","2,002",258,"2,555",677,329,87
10/1/88,783,"2,965","2,113",272,"2,697",713,347,92
11/1/88,785,"2,980","2,151",279,"2,740",722,355,94
12/1/88,787,"2,988","2,102",273,"2,672",703,347,91
1/1/89,786,"2,992","2,169",278,"2,760",725,354,93
2/1/89,784,"2,992","2,338",297,"2,983",781,379,99
3/1/89,783,"3,000","2,243",287,"2,865",748,367,96
4/1/89,779,"3,006","2,294",295,"2,944",763,379,98
5/1/89,775,"3,012","2,415",309,"3,116",802,399,103
6/1/89,774,"3,028","2,491",322,"3,220",823,416,106
7/1/89,778,"3,052","2,440",318,"3,137",799,409,104
8/1/89,779,"3,074","2,641",344,"3,389",859,441,112
9/1/89,781,"3,093","2,752",354,"3,524",890,453,114
10/1/89,787,"3,114","2,693",349,"3,423",865,444,112
11/1/89,788,"3,133","2,646",341,"3,358",844,433,109
12/1/89,793,"3,153","2,748",351,"3,465",872,443,111
1/1/90,795,"3,167","2,753",353,"3,461",869,444,111
2/1/90,798,"3,179","2,810",329,"3,521",884,412,103
3/1/90,802,"3,190","2,810",333,"3,506",881,415,104
4/1/90,806,"3,202","2,810",340,"3,486",878,422,106
5/1/90,804,"3,201","2,810",332,"3,494",878,413,104
6/1/90,809,"3,214","2,810",363,"3,474",874,449,113
7/1/90,810,"3,225","2,810",358,"3,469",871,442,111
8/1/90,816,"3,242","2,810",356,"3,445",867,436,110
9/1/90,820,"3,255","2,810",323,"3,426",863,394,99
10/1/90,820,"3,259","2,810",315,"3,427",862,384,97
11/1/90,822,"3,263","2,810",307,"3,418",861,373,94
12/1/90,825,"3,272","2,810",322,"3,407",859,390,98
1/1/91,827,"3,288","2,810",330,"3,397",855,399,100
2/1/91,833,"3,305","2,810",343,"3,375",850,412,104
3/1/91,839,"3,322","2,810",371,"3,351",846,442,112
4/1/91,843,"3,332","2,810",371,"3,333",843,440,111
5/1/91,849,"3,343","2,810",380,"3,311",841,448,114
6/1/91,857,"3,352","2,810",390,"3,280",838,455,116
7/1/91,862,"3,356","2,810",378,"3,262",837,439,113
8/1/91,867,"3,355","2,810",387,"3,242",838,446,115
9/1/91,870,"3,355","2,810",395,"3,231",838,454,118
10/1/91,878,"3,360","2,810",389,"3,201",836,443,116
11/1/91,888,"3,366","2,810",391,"3,166",835,441,116
12/1/91,897,"3,372","2,810",375,"3,133",833,418,111
1/1/92,910,"3,381","3,172",417,"3,087",831,458,123
2/1/92,925,"3,400","3,223",409,"3,484",948,442,120
3/1/92,937,"3,404","3,268",413,"3,489",960,441,121
4/1/92,944,"3,400","3,249",404,"3,443",956,428,119
5/1/92,951,"3,399","3,336",413,"3,509",982,434,122
6/1/92,954,"3,393","3,413",417,"3,577","1,006",437,123
7/1/92,963,"3,394","3,354",413,"3,482",988,429,122
8/1/92,974,"3,399","3,394",424,"3,485",999,435,125
9/1/92,988,"3,410","3,266",416,"3,306",958,421,122
10/1/92,"1,004","3,424","3,254",416,"3,242",951,414,122
11/1/92,"1,016","3,427","3,226",419,"3,176",942,413,122
12/1/92,"1,025","3,425","3,294",431,"3,214",962,421,126
1/1/93,"1,030","3,419","3,301",436,"3,204",965,423,128
2/1/93,"1,034","3,415","3,332",443,"3,224",976,429,130
3/1/93,"1,038","3,412","3,355",442,"3,231",984,426,130
4/1/93,"1,048","3,411","3,439",450,"3,283","1,008",430,132
5/1/93,"1,066","3,437","3,428",440,"3,216",997,413,128
6/1/93,"1,075","3,442","3,552",454,"3,304","1,032",422,132
7/1/93,"1,085","3,442","3,511",449,"3,237","1,020",414,130
8/1/93,"1,094","3,446","3,539",448,"3,235","1,027",409,130
9/1/93,"1,104","3,452","3,645",463,"3,301","1,056",419,134
10/1/93,"1,113","3,457","3,581",461,"3,217","1,036",414,133
11/1/93,"1,124","3,470","3,693",469,"3,285","1,064",417,135
12/1/93,"1,130","3,475","3,697",462,"3,273","1,064",409,133
1/1/94,"1,132","3,475","3,754",467,"3,318","1,080",413,134
2/1/94,"1,136","3,476","3,964",480,"3,489","1,140",422,138
3/1/94,"1,140","3,480","3,809",464,"3,341","1,095",407,133
4/1/94,"1,141","3,481","3,636",446,"3,186","1,044",391,128
5/1/94,"1,143","3,491","3,682",451,"3,220","1,055",394,129
6/1/94,"1,145","3,480","3,761",458,"3,284","1,081",400,132
7/1/94,"1,151","3,488","3,647",446,"3,169","1,045",388,128
8/1/94,"1,151","3,486","3,798",461,"3,301","1,090",401,132
9/1/94,"1,152","3,486","3,901",473,"3,387","1,119",411,136
10/1/94,"1,150","3,484","3,843",463,"3,341","1,103",403,133
11/1/94,"1,151","3,487","3,863",468,"3,357","1,108",407,134
12/1/94,"1,151","3,486","3,701",449,"3,216","1,062",390,129
1/1/95,"1,151","3,492","3,834",459,"3,330","1,098",399,131
2/1/95,"1,147","3,490","3,848",470,"3,353","1,102",410,135
3/1/95,"1,147","3,491","3,995",486,"3,484","1,144",424,139
4/1/95,"1,149","3,499","4,158",501,"3,618","1,188",436,143
