Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
12/31/91,235831,1099507,2722085,3132988,1577,"6,688","1,435",579,503
1/31/92,234650,1093150,2720803,3137429,1686,"7,184","1,542",620,537
2/29/92,236059,1092910,2729621,3152683,1747,"7,400","1,598",640,554
3/31/92,236292,1100845,2747609,3174957,1718,"7,272","1,561",625,541
4/30/92,239722,1108333,2764811,3206393,1728,"7,209","1,559",625,539
5/31/92,240527,1114672,2778249,3232729,1806,"7,510","1,621",650,559
6/30/92,240994,1109260,2784130,3249564,1755,"7,282","1,582",630,540
7/31/92,244006,1113660,2792853,3271402,1608,"6,592","1,444",576,492
8/31/92,245014,1115857,2803439,3285469,1530,"6,244","1,371",546,466
9/30/92,247483,1128821,2836589,3332285,1470,"5,940","1,302",518,441
10/31/92,248806,1132818,2839113,3336785,1490,"5,987","1,315",525,446
11/30/92,251552,1145342,2860628,3361978,1545,"6,142","1,349",540,460
12/31/92,256622,1144131,2853356,3365086,1538,"5,995","1,345",539,457
1/31/93,255640,1139862,2861813,3378259,1574,"6,157","1,381",550,466
2/28/93,256231,1141771,2876975,3396757,1680,"6,557","1,471",584,495
3/31/93,257574,1152504,2905799,3441196,1677,"6,510","1,455",577,487
4/30/93,258474,1155244,2918598,3450523,1627,"6,294","1,408",557,471
5/31/93,260641,1159512,2937506,3469532,1627,"6,243","1,403",554,469
6/30/93,260536,1166557,2950419,3479485,1701,"6,529","1,458",577,489
7/31/93,261775,1170031,2962145,3487064,1823,"6,964","1,558",615,523
8/31/93,262865,1175388,2977872,3503529,1932,"7,349","1,644",649,551
9/30/93,263149,1183230,2989060,3515151,1910,"7,259","1,614",639,543
10/31/93,265253,1198003,3013455,3540903,2065,"7,785","1,724",685,583
11/30/93,267315,1213444,3037935,3562936,2053,"7,680","1,692",676,576
12/31/93,268575,1221682,3067025,3588556,2255,"8,397","1,846",735,628
1/31/94,270347,1234252,3085865,3598429,2193,"8,110","1,776",711,609
2/28/94,271858,1241994,3101072,3606066,2103,"7,737","1,693",678,583
3/31/94,274492,1254183,3125371,3622879,2143,"7,807","1,709",686,591
4/30/94,275195,1257216,3133464,3633025,2253,"8,185","1,792",719,620
5/31/94,276492,1251928,3135071,3632446,2137,"7,730","1,707",682,588
6/30/94,276827,1260722,3145542,3642375,2021,"7,300","1,603",642,555
7/31/94,277701,1262275,3155590,3656552,2152,"7,750","1,705",682,589
8/31/94,279086,1268603,3157950,3656590,2207,"7,908","1,740",699,604
9/30/94,281391,1271745,3162985,3656168,2002,"7,116","1,574",633,548
10/31/94,282149,1278103,3169833,3670601,2062,"7,307","1,613",650,562
11/30/94,282273,1273612,3167131,3678013,2057,"7,288","1,615",650,559
12/31/94,283198,1273837,3159101,3672401,2098,"7,407","1,647",664,571
1/31/95,284109,1270347,3158136,3679631,2025,"7,127","1,594",641,550
2/28/95,285191,1279599,3172336,3700799,2098,"7,356","1,639",661,567
3/31/95,285602,1279786,3176992,3698901,1915,"6,704","1,496",603,518
4/30/95,286086,1280661,3182541,3709760,2018,"7,054","1,576",634,544
5/31/95,286426,1288668,3197971,3730389,2100,"7,332","1,630",657,563
6/30/95,287634,1291901,3212302,3752177,2089,"7,263","1,617",650,557
7/31/95,286447,1295406,3220407,3758401,2223,"7,759","1,716",690,591
8/31/95,287771,1300280,3233209,3781841,2234,"7,764","1,718",691,591
9/30/95,290032,1313848,3256397,3804491,2201,"7,590","1,675",676,579
10/31/95,290486,1312908,3269129,3820462,2166,"7,456","1,650",662,567
11/30/95,291371,1320636,3280691,3840964,2255,"7,739","1,707",687,587
12/31/95,294475,1349298,3312463,3877110,2261,"7,677","1,675",682,583
1/31/96,294181,1342826,3319911,3891983,2463,"8,372","1,834",742,633
2/29/96,294551,1342788,3329074,3906146,2485,"8,437","1,851",747,636
3/31/96,296130,1347622,3337370,3919392,2489,"8,406","1,847",746,635
4/30/96,297311,1360812,3358564,3933563,2493,"8,384","1,832",742,634
5/31/96,298591,1367743,3368180,3940474,2524,"8,452","1,845",749,640
6/30/96,299440,1370698,3382265,3948661,2570,"8,584","1,875",760,651
7/31/96,299901,1379242,3397399,3963579,2492,"8,308","1,806",733,629
8/31/96,301757,1391358,3412208,3982902,2534,"8,399","1,822",743,636
9/30/96,302648,1403713,3430659,4002704,2655,"8,774","1,892",774,663
10/31/96,304378,1413817,3436406,4007200,2671,"8,777","1,889",777,667
11/30/96,305532,1431291,3455104,4016115,2849,"9,324","1,990",825,709
12/31/96,306323,1458860,3485231,4037575,2880,"9,402","1,974",826,713
1/31/97,307767,1455766,3482856,4040762,3038,"9,870","2,087",872,752
2/28/97,309005,1462263,3493517,4054012,3261,"10,553","2,230",933,804
3/31/97,309600,1462135,3496684,4061573,3408,"11,007","2,331",975,839
