Date,Value
1983-01-01,145.3
1983-02-01,148.06
1983-03-01,152.96
1983-04-01,164.43
1983-05-01,162.39
1983-06-01,167.64
1983-07-01,162.56
1983-08-01,164.4
1983-09-01,166.07
1983-10-01,163.55
1983-11-01,166.4
1983-12-01,164.93
1984-01-01,163.41
1984-02-01,157.06
1984-03-01,159.18
1984-04-01,160.05
1984-05-01,150.55
1984-06-01,153.18
1984-07-01,150.66
1984-08-01,166.68
1984-09-01,166.1
1984-10-01,166.09
1984-11-01,163.58
1984-12-01,167.24
1985-01-01,179.63
1985-02-01,181.18
1985-03-01,180.66
1985-04-01,179.83
1985-05-01,189.55
1985-06-01,191.85
1985-07-01,190.92
1985-08-01,188.63
1985-09-01,182.08
1985-10-01,189.82
1985-11-01,202.17
1985-12-01,211.28
1986-01-01,211.78
1986-02-01,226.92
1986-03-01,238.9
1986-04-01,235.52
1986-05-01,247.35
1986-06-01,250.84
1986-07-01,236.12
1986-08-01,252.93
1986-09-01,231.32
1986-10-01,243.98
1986-11-01,249.22
1986-12-01,242.17
1987-01-01,274.08
1987-02-01,284.2
1987-03-01,291.7
1987-04-01,288.36
1987-05-01,290.1
1987-06-01,304
1987-07-01,318.66
1987-08-01,329.8
1987-09-01,321.83
1987-10-01,251.79
1987-11-01,230.3
1987-12-01,247.08
1988-01-01,257.07
1988-02-01,267.82
1988-03-01,258.89
1988-04-01,261.33
1988-05-01,262.16
1988-06-01,273.5
1988-07-01,272.02
1988-08-01,261.52
1988-09-01,271.91
1988-10-01,278.97
1988-11-01,273.7
1988-12-01,277.72
1989-01-01,297.47
1989-02-01,288.86
1989-03-01,294.87
1989-04-01,309.64
1989-05-01,320.52
1989-06-01,317.98
1989-07-01,346.08
1989-08-01,351.45
1989-09-01,349.15
1989-10-01,340.36
1989-11-01,345.99
1989-12-01,353.4
1990-01-01,329.08
1990-02-01,331.89
1990-03-01,339.94
1990-04-01,330.8
1990-05-01,361.23
1990-06-01,358.02
1990-07-01,356.15
1990-08-01,322.56
1990-09-01,306.05
1990-10-01,304
1990-11-01,322.22
1990-12-01,330.22
1991-01-01,343.93
1991-02-01,367.07
1991-03-01,375.22
1991-04-01,375.34
1991-05-01,389.83
1991-06-01,371.16
1991-07-01,387.81
1991-08-01,395.43
1991-09-01,387.86
1991-10-01,392.45
1991-11-01,375.22
1991-12-01,417.09
1992-01-01,408.78
1992-02-01,412.7
1992-03-01,403.69
1992-04-01,414.95
1992-05-01,415.35
1992-06-01,408.14
1992-07-01,424.21
1992-08-01,414.03
1992-09-01,417.8
1992-10-01,418.68
1992-11-01,431.35
1992-12-01,435.71
1993-01-01,438.78
1993-02-01,443.38
1993-03-01,451.67
1993-04-01,440.19
1993-05-01,450.19
1993-06-01,450.53
1993-07-01,448.13
1993-08-01,463.56
1993-09-01,458.93
1993-10-01,467.83
1993-11-01,461.79
1993-12-01,466.45
1994-01-01,481.61
1994-02-01,467.14
1994-03-01,445.77
1994-04-01,450.91
1994-05-01,456.5
1994-06-01,444.27
1994-07-01,458.26
1994-08-01,475.49
1994-09-01,462.71
1994-10-01,472.35
1994-11-01,453.69
1994-12-01,459.27
1995-01-01,470.42
1995-02-01,487.39
1995-03-01,500.71
1995-04-01,514.71
1995-05-01,533.4
1995-06-01,544.75
1995-07-01,562.06
1995-08-01,561.88
1995-09-01,584.41
1995-10-01,581.5
1995-11-01,605.37
1995-12-01,615.93
1996-01-01,636.02
1996-02-01,640.43
1996-03-01,645.5
1996-04-01,654.17
1996-05-01,669.12
1996-06-01,670.63
1996-07-01,639.95
1996-08-01,651.99
1996-09-01,687.33
1996-10-01,705.27
1996-11-01,757.02
1996-12-01,740.74
1997-01-01,786.16
1997-02-01,790.82
1997-03-01,757.12
1997-04-01,801.34
1997-05-01,848.28
1997-06-01,885.14
1997-07-01,954.31
1997-08-01,899.47
1997-09-01,947.28
1997-10-01,914.62
1997-11-01,955.4
1997-12-01,970.43
1998-01-01,980.28
1998-02-01,1049.34
1998-03-01,1101.75
1998-04-01,1111.75
1998-05-01,1090.82
1998-06-01,1133.84
1998-07-01,1120.67
1998-08-01,957.28
1998-09-01,1017.01
1998-10-01,1098.67
1998-11-01,1163.63
1998-12-01,1229.23
1999-01-01,1279.64
1999-02-01,1238.33
1999-03-01,1286.37
1999-04-01,1335.18
1999-05-01,1301.84
1999-06-01,1372.71
1999-07-01,1328.72
1999-08-01,1320.41
1999-09-01,1282.71
1999-10-01,1362.93
1999-11-01,1388.91
1999-12-01,1469.25
2000-01-01,1394.46
2000-02-01,1366.42
2000-03-01,1498.58
2000-04-01,1452.43
2000-05-01,1420.6
2000-06-01,1454.6
2000-07-01,1430.83
2000-08-01,1517.68
2000-09-01,1436.51
2000-10-01,1429.4
2000-11-01,1314.95
2000-12-01,1320.28
2001-01-01,1366.01
2001-02-01,1239.94
2001-03-01,1160.33
2001-04-01,1249.46
2001-05-01,1255.82
2001-06-01,1224.38
2001-07-01,1211.23
2001-08-01,1133.58
2001-09-01,1040.94
2001-10-01,1059.78
2001-11-01,1139.45
2001-12-01,1148.08
2002-01-01,1130.2
2002-02-01,1106.73
2002-03-01,1147.39
2002-04-01,1076.92
2002-05-01,1067.14
2002-06-01,989.82
2002-07-01,911.62
2002-08-01,916.07
2002-09-01,815.28
2002-10-01,885.76
2002-11-01,936.31
2002-12-01,879.82
2003-01-01,855.7
2003-02-01,841.15
2003-03-01,848.18
2003-04-01,916.92
2003-05-01,963.59
2003-06-01,974.5
2003-07-01,990.31
2003-08-01,1008.01
2003-09-01,995.97
2003-10-01,1050.71
2003-11-01,1058.2
2003-12-01,1111.92
2004-01-01,1131.13
2004-02-01,1144.94
2004-03-01,1126.21
2004-04-01,1107.3
2004-05-01,1120.68
2004-06-01,1140.84
2004-07-01,1101.72
2004-08-01,1104.24
2004-09-01,1114.58
2004-10-01,1130.2
2004-11-01,1173.82
2004-12-01,1211.92
2005-01-01,1181.27
2005-02-01,1203.6
2005-03-01,1180.59
2005-04-01,1156.85
2005-05-01,1191.5
2005-06-01,1191.33
2005-07-01,1234.18
2005-08-01,1220.33
2005-09-01,1228.81
2005-10-01,1207.01
2005-11-01,1249.48
2005-12-01,1248.29
2006-01-01,1280.08
2006-02-01,1280.66
2006-03-01,1294.87
2006-04-01,1310.61
2006-05-01,1270.09
2006-06-01,1270.2
2006-07-01,1276.66
2006-08-01,1303.82
2006-09-01,1335.85
2006-10-01,1377.94
2006-11-01,1400.63
2006-12-01,1418.3
2007-01-01,1438.24
2007-02-01,1406.82
2007-03-01,1420.86
2007-04-01,1482.37
2007-05-01,1530.62
2007-06-01,1503.35
2007-07-01,1455.27
2007-08-01,1473.99
2007-09-01,1526.75
2007-10-01,1549.38
2007-11-01,1481.14
2007-12-01,1468.36
2008-01-01,1378.55
2008-02-01,1330.63
2008-03-01,1322.7
2008-04-01,1385.59
2008-05-01,1400.38
2008-06-01,1280
2008-07-01,1267.38
2008-08-01,1282.83
2008-09-01,1166.36
2008-10-01,968.75
2008-11-01,896.24
2008-12-01,903.25
2009-01-01,825.88
2009-02-01,735.09
2009-03-01,797.87
2009-04-01,872.81
2009-05-01,919.14
2009-06-01,919.32
2009-07-01,987.48
2009-08-01,1020.62
2009-09-01,1057.08
2009-10-01,1036.19
2009-11-01,1095.63
2009-12-01,1115.1
2010-01-01,1073.87
2010-02-01,1104.49
2010-03-01,1169.43
2010-04-01,1186.69
2010-05-01,1089.41
2010-06-01,1030.71
2010-07-01,1101.6
2010-08-01,1049.33
2010-09-01,1141.2
2010-10-01,1183.26
2010-11-01,1180.55
2010-12-01,1257.64
2011-01-01,1286.12
2011-02-01,1327.22
2011-03-01,1325.83
2011-04-01,1363.61
2011-05-01,1345.2
2011-06-01,1320.64
2011-07-01,1292.28
2011-08-01,1218.89
2011-09-01,1131.42
2011-10-01,1253.3
2011-11-01,1246.96
2011-12-01,1257.6
2012-01-01,1312.41
2012-02-01,1365.68
2012-03-01,1408.47
2012-04-01,1397.91
2012-05-01,1310.33
2012-06-01,1362.16
2012-07-01,1379.32
2012-08-01,1406.58
2012-09-01,1440.67
2012-10-01,1412.16
2012-11-01,1416.18
2012-12-01,1426.19
2013-01-01,1498.11
2013-02-01,1514.68
2013-03-01,1569.19
2013-04-01,1597.57
2013-05-01,1630.74
2013-06-01,1606.28
2013-07-01,1685.73
2013-08-01,1632.97
2013-09-01,1681.55
2013-10-01,1756.54
2013-11-01,1805.81
2013-12-01,1848.36
2014-01-01,1782.59
2014-02-01,1859.45
2014-03-01,1872.34
2014-04-01,1883.95
2014-05-01,1923.57
2014-06-01,1960.23
2014-07-01,1930.67
2014-08-01,2003.37
2014-09-01,1972.29
2014-10-01,2018.05
2014-11-01,2067.56
2014-12-01,2058.9
2015-01-01,1994.99
2015-02-01,2104.5
2015-03-01,2067.89
2015-04-01,2085.51
2015-05-01,2107.39
2015-06-01,2063.11
