Rank,Symbol,Company,Market Cap,Price,Change,Revenue
225,CBRE,"CBRE Group, Inc.",44.15B,150.61,-1.19%,39.33B
226,ETR,Entergy Corporation,43.81B,96.87,0.81%,12.73B
227,AIG,"American International Group, Inc.",43.74B,78.96,-,27.40B
228,MSCI,MSCI Inc.,43.66B,581.1,-1.27%,3.06B
229,DHI,"D.R. Horton, Inc.",42.72B,145.06,-2.70%,34.25B
230,CTVA,"Corteva, Inc.",42.14B,62.06,1.01%,17.18B
231,KR,The Kroger Co.,42.04B,63.44,-0.30%,147.00B
232,AMP,"Ameriprise Financial, Inc.",42.03B,452.38,-0.09%,18.51B
233,LVS,Las Vegas Sands Corp.,41.74B,61.73,4.01%,12.26B
234,CMG,"Chipotle Mexican Grill, Inc.",41.66B,31.51,-0.57%,11.79B
235,CPRT,"Copart, Inc.",41.61B,43,-0.02%,4.65B
236,TGT,Target Corporation,41.55B,91.45,-1.37%,105.64B
237,PAYX,"Paychex, Inc.",41.43B,115.11,-1.64%,5.79B
238,OKE,"ONEOK, Inc.",41.13B,65.36,0.65%,31.56B
239,A,"Agilent Technologies, Inc.",41.02B,144.69,-1.14%,6.79B
240,ROK,"Rockwell Automation, Inc.",40.99B,364.54,-1.04%,8.06B
241,FANG,"Diamondback Energy, Inc.",40.90B,141.27,-1.34%,14.86B
242,PEG,Public Service Enterprise Group Incorporated,40.61B,81.36,0.99%,11.72B
243,GRMN,Garmin Ltd.,40.49B,210.54,-1.59%,6.94B
244,OXY,Occidental Petroleum Corporation,40.28B,40.92,-0.68%,27.15B
245,FICO,Fair Isaac Corporation,39.62B,"1,650.51",-0.54%,1.93B
246,CCI,Crown Castle Inc.,38.98B,89.52,-0.78%,6.42B
247,YUM,"Yum! Brands, Inc.",38.68B,139.38,0.85%,7.91B
248,VMC,Vulcan Materials Company,38.13B,288.55,-0.33%,7.88B
249,DAL,"Delta Air Lines, Inc.",37.95B,58.5,1.95%,62.92B
250,CCL,Carnival Corporation & plc,37.70B,28.71,-0.42%,26.23B
251,EBAY,eBay Inc.,37.41B,82.77,1.80%,10.71B
252,MLM,"Martin Marietta Materials, Inc.",37.35B,619.3,1.01%,6.69B
253,TKO,"TKO Group Holdings, Inc.",37.22B,187.71,-0.37%,2.97B
254,PRU,"Prudential Financial, Inc.",36.61B,104.63,0.61%,57.60B
255,IQV,IQVIA Holdings Inc.,36.42B,213.88,-1.19%,15.90B
256,RMD,ResMed Inc.,36.34B,248.95,0.84%,5.26B
257,XYL,Xylem Inc.,36.30B,149.09,-1.17%,8.89B
258,KDP,Keurig Dr Pepper Inc.,36.19B,26.64,-1.91%,16.17B
259,WEC,"WEC Energy Group, Inc.",35.98B,110.61,-1.00%,9.55B
260,OTIS,Otis Worldwide Corporation,35.14B,90.17,-2.79%,14.31B
261,CTSH,Cognizant Technology Solutions Corporation,35.10B,72.73,-0.21%,20.86B
262,VTR,"Ventas, Inc.",35.08B,74.13,0.46%,5.54B
263,FI,"Fiserv, Inc.",35.04B,65.14,-2.32%,21.16B
264,WAB,Westinghouse Air Brake Technologies Corporation,35.03B,204.92,0.23%,10.79B
265,PCG,PG&E Corporation,34.97B,15.91,-0.31%,24.76B
266,SYY,Sysco Corporation,34.91B,72.9,-1.86%,82.03B
267,EQT,EQT Corporation,34.86B,55.86,4.26%,7.71B
268,ED,"Consolidated Edison, Inc.",34.85B,96.64,-0.79%,16.15B
269,LYV,"Live Nation Entertainment, Inc.",34.76B,149.84,0.21%,23.72B
270,HIG,"The Hartford Insurance Group, Inc.",34.63B,124.27,0.07%,27.92B
271,NUE,Nucor Corporation,34.00B,148.12,-1.29%,31.88B
272,KMB,Kimberly-Clark Corporation,33.94B,102.27,-14.57%,19.72B
273,GEHC,GE HealthCare Technologies Inc.,33.92B,74.47,-0.64%,20.25B
274,NRG,"NRG Energy, Inc.",33.75B,174.48,2.05%,29.37B
275,MCHP,Microchip Technology Incorporated,33.68B,62.41,-0.02%,4.24B
276,HUM,Humana Inc.,33.67B,279.92,0.62%,123.11B
277,EL,The Estée Lauder Companies Inc.,33.60B,93.25,-3.56%,14.45B
278,TRGP,Targa Resources Corp.,33.59B,156.09,1.33%,17.08B
279,HSY,The Hershey Company,32.91B,162.31,-4.32%,11.49B
280,STT,State Street Corporation,32.59B,116.69,0.89%,13.63B
281,IBKR,"Interactive Brokers Group, Inc.",32.54B,73.08,3.87%,5.95B
282,FIS,"Fidelity National Information Services, Inc.",32.49B,62.2,-0.51%,10.32B
283,CHTR,"Charter Communications, Inc.",32.42B,222.2,-4.98%,55.10B
284,HPE,Hewlett Packard Enterprise Company,32.33B,24.5,0.33%,33.08B
285,VICI,VICI Properties Inc.,32.16B,30.09,0.33%,3.97B
286,KEYS,"Keysight Technologies, Inc.",32.00B,186.18,1.76%,5.24B
287,RJF,"Raymond James Financial, Inc.",31.47B,158.88,0.13%,14.03B
288,ACGL,Arch Capital Group Ltd.,31.46B,86,-0.36%,19.54B
289,UAL,"United Airlines Holdings, Inc.",31.11B,96.11,2.20%,58.37B
290,KVUE,Kenvue Inc.,30.92B,16.14,12.32%,15.01B
291,LEN,Lennar Corporation,30.76B,120.59,-2.57%,34.77B
292,IRM,Iron Mountain Incorporated,30.62B,103.67,0.70%,6.44B
293,SMCI,"Super Micro Computer, Inc.",30.16B,50.75,-2.33%,21.97B
294,EME,"EMCOR Group, Inc.",30.15B,673.52,-0.33%,16.24B
295,WTW,Willis Towers Watson Public Limited Company,30.07B,314,0.29%,9.81B
296,IR,Ingersoll Rand Inc.,30.03B,76,-0.43%,7.46B
297,VRSK,"Verisk Analytics, Inc.",30.02B,215.4,-1.54%,3.03B
298,CSGP,"CoStar Group, Inc.",29.40B,69.38,0.83%,3.06B
299,EXR,Extra Space Storage Inc.,29.07B,131.2,-1.75%,3.42B
300,MTD,Mettler-Toledo International Inc.,28.98B,"1,406.88",-0.66%,3.87B
301,ODFL,"Old Dominion Freight Line, Inc.",28.90B,137.51,-2.07%,5.57B
